temp,windspeed,rain,HomeTeam,AwayTeam,HTHG,HTAG,HS,AS,HST,AST,HC,HY,AY,HR,AR,League Year,ExpectedBetHomeWin,ExpectedBetDraw,ExpectedBetAwayWin,FinalResult,Goal_Difference,Home_Attack,Home_Midfield,Home_Defence,Home_Overall,Away_Attack,Away_Midfield,Away_Defence,Away_Overall
59.4,12.5,0,Newcastle,Liverpool,1.0,1.0,14.0,23.0,4.0,7.0,3.0,2.0,3.0,1.0,0.0,2013,4.324999999999999,3.7875,1.8225000000000002,1,0.0,78,75,76,76,76,79,78,80
59.4,12.5,0,Stoke,West Brom,0.0,0.0,9.0,12.0,3.0,5.0,6.0,1.0,0.0,0.0,0.0,2013,2.3075,3.2249999999999996,3.3375,1,0.0,76,73,73,74,70,74,72,74
59.4,12.5,0,Swansea,Sunderland,0.0,0.0,14.0,6.0,6.0,1.0,7.0,1.0,2.0,0.0,0.0,2013,1.585,4.0,6.1875,2,0.0,79,74,75,76,74,73,73,74
59.4,12.5,0,West Ham,Man City,0.0,1.0,11.0,16.0,2.0,9.0,5.0,1.0,2.0,0.0,0.0,2013,5.35,3.675,1.71,0,0.0,76,74,72,74,84,83,81,82
57.6,15.5,1,Aston Villa,Tottenham,0.0,1.0,15.0,13.0,2.0,6.0,4.0,3.0,4.0,0.0,0.0,2013,3.85,3.4499999999999997,2.025,0,0.0,72,71,74,74,77,80,78,80
60.6,17.0,0,Crystal Palace,Fulham,1.0,2.0,14.0,9.0,4.0,6.0,5.0,0.0,1.0,0.0,0.0,2013,2.725,3.2249999999999996,2.7375,0,0.0,71,72,71,72,71,74,72,75
60.0,20.3,0,Aston Villa,Everton,0.0,0.0,14.0,15.0,3.0,4.0,8.0,0.0,2.0,0.0,0.0,2013,3.375,3.3,2.2624999999999997,0,0.0,72,71,74,74,78,78,78,78
60.0,20.3,0,Crystal Palace,Arsenal,0.0,0.0,13.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,2013,9.5,4.9375,1.3525000000000003,0,0.0,71,72,71,72,79,81,80,80
60.0,20.3,0,Liverpool,West Brom,2.0,0.0,18.0,15.0,7.0,3.0,3.0,0.0,2.0,0.0,0.0,2013,1.42,4.75,7.6875,2,2.0,76,79,78,80,70,74,72,74
60.0,20.3,0,Man United,Stoke,1.0,2.0,19.0,10.0,5.0,5.0,12.0,2.0,6.0,0.0,0.0,2013,1.34,5.0075,9.875,2,0.0,85,79,80,82,76,73,73,74
60.0,20.3,0,Norwich,Cardiff,0.0,0.0,31.0,6.0,10.0,4.0,13.0,1.0,1.0,0.0,0.0,2013,2.2,3.325,3.475,1,0.0,74,74,74,74,72,70,73,72
60.0,20.3,0,Southampton,Fulham,2.0,0.0,20.0,1.0,6.0,0.0,10.0,0.0,2.0,0.0,0.0,2013,1.6225,3.8,6.125,2,2.0,76,76,73,75,71,74,72,75
57.1,25.2,1,Chelsea,Man City,1.0,0.0,12.0,15.0,4.0,6.0,3.0,2.0,3.0,0.0,0.0,2013,2.3775000000000004,3.3,3.1175000000000006,2,1.0,81,82,81,82,84,83,81,82
57.1,25.2,1,Sunderland,Newcastle,1.0,0.0,8.0,16.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,2013,2.8375,3.25,2.6125000000000003,2,1.0,74,73,73,74,78,75,76,76
57.1,25.2,1,Swansea,West Ham,0.0,0.0,10.0,15.0,5.0,4.0,9.0,1.0,3.0,0.0,0.0,2013,1.725,3.6875,5.1125,1,0.0,79,74,75,76,76,74,72,74
57.1,25.2,1,Tottenham,Hull,0.0,0.0,15.0,10.0,6.0,4.0,6.0,3.0,3.0,0.0,0.0,2013,1.4299999999999997,4.425,8.3125,2,0.0,77,80,78,80,72,71,71,72
53.7,23.2,0,Arsenal,Liverpool,1.0,0.0,12.0,12.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,2013,2.25,3.35,3.3375,2,1.0,79,81,80,80,76,79,78,80
53.7,23.2,0,Fulham,Man United,0.0,3.0,15.0,10.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,2013,6.1875,3.9750000000000005,1.59,0,0.0,71,74,72,75,85,79,80,82
53.7,23.2,0,Hull,Sunderland,1.0,0.0,25.0,9.0,2.0,1.0,4.0,2.0,0.0,0.0,2.0,2013,2.15,3.325,3.6125,2,1.0,72,71,71,72,74,73,73,74
53.7,23.2,0,Man City,Norwich,4.0,0.0,27.0,7.0,9.0,1.0,10.0,1.0,1.0,0.0,0.0,2013,1.1925000000000001,7.125,15.75,2,4.0,84,83,81,82,74,74,74,74
53.7,23.2,0,Newcastle,Chelsea,0.0,0.0,15.0,13.0,8.0,2.0,3.0,2.0,2.0,0.0,0.0,2013,5.75,3.925,1.6275,2,0.0,78,75,76,76,81,82,81,82
53.7,23.2,0,Stoke,Southampton,1.0,1.0,9.0,10.0,3.0,2.0,5.0,3.0,1.0,0.0,0.0,2013,3.2249999999999996,3.175,2.4000000000000004,1,0.0,76,73,73,74,76,76,73,75
53.7,23.2,0,West Brom,Crystal Palace,1.0,0.0,9.0,12.0,4.0,4.0,10.0,0.0,1.0,0.0,0.0,2013,1.5475,4.12,6.4375,2,1.0,70,74,72,74,71,72,71,72
53.7,23.2,0,West Ham,Aston Villa,0.0,0.0,17.0,8.0,4.0,2.0,5.0,0.0,2.0,0.0,0.0,2013,2.225,3.4000000000000004,3.35,1,0.0,76,74,72,74,72,71,74,74
48.8,20.7,0,Cardiff,Swansea,0.0,0.0,9.0,10.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,2013,3.325,3.275,2.3,2,0.0,72,70,73,72,79,74,75,76
48.8,20.7,0,Everton,Tottenham,0.0,0.0,8.0,16.0,1.0,6.0,7.0,4.0,1.0,0.0,0.0,2013,2.475,3.275,2.975,1,0.0,78,78,78,78,77,80,78,80
42.3,10.2,1,Aston Villa,Cardiff,0.0,0.0,17.0,8.0,6.0,2.0,5.0,1.0,1.0,0.0,0.0,2013,1.99,3.375,4.1,2,0.0,72,71,74,74,72,70,73,72
42.3,10.2,1,Chelsea,West Brom,1.0,0.0,17.0,11.0,7.0,3.0,9.0,3.0,7.0,0.0,0.0,2013,1.2925,5.5625,10.9375,1,1.0,81,82,81,82,70,74,72,74
42.3,10.2,1,Crystal Palace,Everton,0.0,0.0,9.0,15.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2013,6.125,3.875,1.6075000000000002,1,0.0,71,72,71,72,78,78,78,78
42.3,10.2,1,Liverpool,Fulham,3.0,0.0,32.0,4.0,10.0,1.0,9.0,0.0,1.0,0.0,0.0,2013,1.2525,5.875,14.0,2,3.0,76,79,78,80,71,74,72,75
42.3,10.2,1,Norwich,West Ham,0.0,1.0,15.0,12.0,6.0,4.0,4.0,1.0,1.0,0.0,0.0,2013,2.55,3.2375,2.9124999999999996,2,0.0,74,74,74,74,76,74,72,74
42.3,10.2,1,Southampton,Hull,3.0,0.0,15.0,10.0,7.0,2.0,6.0,1.0,2.0,0.0,0.0,2013,1.58,3.8,6.875,2,3.0,76,76,73,75,72,71,71,72
43.2,12.6,0,Man United,Arsenal,1.0,0.0,5.0,10.0,2.0,2.0,5.0,2.0,3.0,0.0,0.0,2013,2.25,3.45,3.2375,2,1.0,85,79,80,82,79,81,80,80
43.2,12.6,0,Sunderland,Man City,1.0,0.0,5.0,24.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2013,8.3125,4.9375,1.3850000000000002,2,1.0,74,73,73,74,84,83,81,82
43.2,12.6,0,Swansea,Stoke,0.0,2.0,17.0,6.0,6.0,3.0,14.0,5.0,3.0,0.0,0.0,2013,1.9425000000000001,3.4,4.282500000000001,1,0.0,79,74,75,76,76,73,73,74
43.2,12.6,0,Tottenham,Newcastle,0.0,1.0,31.0,8.0,14.0,4.0,11.0,1.0,2.0,0.0,0.0,2013,1.5425000000000002,4.165000000000001,6.4375,0,0.0,77,80,78,80,78,75,76,76
42.7,11.1,0,Arsenal,Southampton,1.0,0.0,9.0,10.0,4.0,4.0,5.0,0.0,3.0,0.0,0.0,2013,1.62,3.9250000000000003,5.9375,2,1.0,79,81,80,80,76,76,73,75
42.7,11.1,0,Everton,Liverpool,1.0,2.0,18.0,11.0,12.0,5.0,6.0,4.0,3.0,0.0,0.0,2013,2.9375,3.2375000000000003,2.5425,1,0.0,78,78,78,78,76,79,78,80
42.7,11.1,0,Fulham,Swansea,0.0,0.0,9.0,21.0,3.0,5.0,8.0,3.0,1.0,0.0,0.0,2013,3.2,3.25,2.3575,0,0.0,71,74,72,75,79,74,75,76
42.7,11.1,0,Hull,Crystal Palace,0.0,0.0,15.0,9.0,2.0,2.0,11.0,2.0,1.0,0.0,1.0,2013,1.8375000000000001,3.375,4.8875,0,0.0,72,71,71,72,71,72,71,72
42.7,11.1,0,Newcastle,Norwich,2.0,0.0,21.0,10.0,5.0,2.0,6.0,0.0,1.0,0.0,0.0,2013,1.7874999999999999,3.5999999999999996,4.875,2,2.0,78,75,76,76,74,74,74,74
42.7,11.1,0,Stoke,Sunderland,1.0,0.0,17.0,11.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,2013,2.1125000000000003,3.2249999999999996,3.85,2,1.0,76,73,73,74,74,73,73,74
42.7,11.1,0,West Ham,Chelsea,0.0,2.0,8.0,20.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,2013,5.8125,3.9,1.6275,0,0.0,76,74,72,74,81,82,81,82
44.8,12.1,0,Cardiff,Man United,1.0,2.0,14.0,16.0,4.0,5.0,2.0,4.0,2.0,0.0,0.0,2013,5.75,3.825,1.6475,1,0.0,72,70,73,72,85,79,80,82
44.8,12.1,0,Man City,Tottenham,3.0,0.0,15.0,13.0,10.0,5.0,4.0,1.0,3.0,0.0,0.0,2013,1.6875000000000002,3.825,5.35,2,3.0,84,83,81,82,77,80,78,80
43.1,9.8,0,West Brom,Aston Villa,2.0,0.0,11.0,15.0,4.0,7.0,4.0,1.0,2.0,0.0,0.0,2013,2.1,3.375,3.6875,1,2.0,70,74,72,74,72,71,74,74
44.8,12.6,0,Aston Villa,Sunderland,0.0,0.0,13.0,7.0,4.0,1.0,7.0,2.0,1.0,0.0,0.0,2013,1.9875,3.425,4.02,1,0.0,72,71,74,74,74,73,73,74
44.8,12.6,0,Cardiff,Arsenal,0.0,1.0,10.0,15.0,4.0,6.0,3.0,0.0,3.0,0.0,0.0,2013,5.875,3.875,1.6350000000000002,0,0.0,72,70,73,72,79,81,80,80
